Epoch: 11/60 Setp: 350, ranking_loss: 5.54, id_loss: 4.70
Epoch: 11/60 Setp: 400, ranking_loss: 4.30, id_loss: 4.94
Epoch: 11/60 Setp: 450, ranking_loss: 3.37, id_loss: 5.29
Epoch: 11/60 Setp: 500, ranking_loss: 4.22, id_loss: 4.35
Epoch: 11/60 Setp: 550, ranking_loss: 3.64, id_loss: 5.38
Epoch: 11/60 Setp: 600, ranking_loss: 4.31, id_loss: 5.28
Epoch: 11/60 Setp: 650, ranking_loss: 4.75, id_loss: 4.72
Epoch: 11/60 Setp: 700, ranking_loss: 5.44, id_loss: 5.97
Epoch: 11/60 Setp: 750, ranking_loss: 4.56, id_loss: 6.45
Epoch: 11/60 Setp: 800, ranking_loss: 6.70, id_loss: 4.47
Epoch: 11/60 Setp: 850, ranking_loss: 2.58, id_loss: 5.33
Epoch: 11/60 Setp: 900, ranking_loss: 4.24, id_loss: 5.61
Epoch: 11/60 Setp: 950, ranking_loss: 5.98, id_loss: 6.55
Epoch: 11/60 Setp: 1000, ranking_loss: 4.68, id_loss: 3.76
Epoch: 11/60 Setp: 1050, ranking_loss: 4.43, id_loss: 5.52
Epoch: 11/60 , ranking_loss: 4.48, id_loss: 4.65
lr:0.001
lr:0.0001
Epoch: 12/60 Setp: 50, ranking_loss: 4.65, id_loss: 3.57
Epoch: 12/60 Setp: 100, ranking_loss: 2.83, id_loss: 3.77
Epoch: 12/60 Setp: 150, ranking_loss: 3.96, id_loss: 3.81
Epoch: 12/60 Setp: 200, ranking_loss: 3.36, id_loss: 3.25
Epoch: 12/60 Setp: 250, ranking_loss: 4.61, id_loss: 3.67
Epoch: 12/60 Setp: 300, ranking_loss: 3.63, id_loss: 2.78
Epoch: 12/60 Setp: 350, ranking_loss: 4.89, id_loss: 4.11
Epoch: 12/60 Setp: 400, ranking_loss: 2.71, id_loss: 3.39
Epoch: 12/60 Setp: 450, ranking_loss: 3.29, id_loss: 2.91
Epoch: 12/60 Setp: 500, ranking_loss: 6.26, id_loss: 4.60
Epoch: 12/60 Setp: 550, ranking_loss: 4.46, id_loss: 3.49
Epoch: 12/60 Setp: 600, ranking_loss: 5.44, id_loss: 4.63
Epoch: 12/60 Setp: 650, ranking_loss: 3.27, id_loss: 4.23
Epoch: 12/60 Setp: 700, ranking_loss: 3.61, id_loss: 4.78
Epoch: 12/60 Setp: 750, ranking_loss: 4.72, id_loss: 4.42
